airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,price
Jet Airways,2019-05-18,Banglore,Delhi,11:10:00,14:05:00,175,0,7229
Jet Airways,2019-03-09,Banglore,Delhi,19:55:00,22:35:00,160,0,7229
Air India,2019-05-21,Delhi,Cochin,17:20:00,09:25:00,965,1,7480
Jet Airways,2019-06-06,Delhi,Cochin,13:00:00,04:25:00,925,1,14714
Jet Airways,2019-06-01,Delhi,Cochin,05:30:00,19:00:00,810,2,13014
Vistara,2019-06-06,Chennai,Kolkata,17:45:00,20:05:00,140,0,11982
Jet Airways,2019-06-03,Delhi,Cochin,21:25:00,19:00:00,1295,2,13292
IndiGo,2019-03-01,Banglore,Delhi,08:30:00,11:30:00,180,0,10067
IndiGo,2019-03-24,Banglore,Delhi,23:30:00,02:20:00,170,0,4944
Jet Airways,2019-03-01,Banglore,Delhi,05:45:00,19:10:00,805,1,27992
IndiGo,2019-05-01,Kolkata,Banglore,15:15:00,20:05:00,290,1,4775
Jet Airways,2019-05-09,Kolkata,Banglore,14:05:00,18:15:00,1690,1,7757
Air Asia,2019-05-03,Banglore,Delhi,11:10:00,13:55:00,165,0,4483
Air India,2019-03-06,Delhi,Cochin,21:30:00,19:15:00,1305,2,11552
Jet Airways,2019-05-21,Delhi,Cochin,19:45:00,12:35:00,1010,1,12898
Air India,2019-05-18,Delhi,Cochin,19:45:00,19:15:00,1410,2,10651
IndiGo,2019-06-24,Kolkata,Banglore,14:25:00,16:55:00,150,0,4804
Jet Airways,2019-03-24,Kolkata,Banglore,13:55:00,19:40:00,345,1,14231
Air India,2019-05-27,Delhi,Cochin,13:30:00,23:00:00,570,1,8907
Air Asia,2019-05-21,Kolkata,Banglore,22:50:00,01:20:00,150,0,4107
Jet Airways,2019-04-27,Banglore,Delhi,17:45:00,20:45:00,180,0,4544
IndiGo,2019-03-24,Kolkata,Banglore,05:30:00,08:20:00,170,0,4778
Jet Airways,2019-03-24,Mumbai,Hyderabad,02:55:00,04:25:00,90,0,2071
Multiple carriers,2019-03-27,Delhi,Cochin,11:30:00,18:50:00,440,1,11200
Jet Airways,2019-06-01,Delhi,Cochin,20:55:00,04:25:00,450,1,10262
SpiceJet,2019-04-21,Kolkata,Banglore,09:00:00,11:25:00,145,0,4491
IndiGo,2019-05-01,Chennai,Kolkata,11:35:00,14:00:00,145,0,4332
Air India,2019-05-21,Delhi,Cochin,17:15:00,07:40:00,865,2,13039
Jet Airways,2019-06-27,Delhi,Cochin,15:00:00,19:00:00,1680,1,10262
Jet Airways,2019-05-21,Delhi,Cochin,09:50:00,13:05:00,195,0,7202
SpiceJet,2019-06-09,Delhi,Cochin,17:55:00,22:50:00,295,1,5409
Multiple carriers,2019-06-09,Delhi,Cochin,08:00:00,21:00:00,780,1,7408
Jet Airways,2019-05-06,Kolkata,Banglore,17:00:00,21:05:00,1685,1,13067
Jet Airways,2019-06-12,Kolkata,Banglore,16:30:00,23:35:00,425,1,9899
GoAir,2019-05-27,Delhi,Cochin,07:00:00,12:55:00,355,1,5752
Jet Airways,2019-06-12,Banglore,Delhi,08:20:00,11:20:00,180,0,8016
Air India,2019-03-27,Delhi,Cochin,17:15:00,09:25:00,970,2,6057
Air India,2019-05-06,Kolkata,Banglore,09:25:00,01:20:00,955,2,11458
SpiceJet,2019-06-03,Mumbai,Hyderabad,13:15:00,14:45:00,90,0,1965
Jet Airways,2019-06-12,Delhi,Cochin,09:00:00,19:00:00,600,1,10262
Vistara,2019-03-03,Banglore,Delhi,16:00:00,18:35:00,155,0,11793
Vistara,2019-03-12,Mumbai,Hyderabad,07:30:00,19:55:00,745,1,12080
Air India,2019-04-01,Kolkata,Banglore,17:30:00,08:55:00,925,1,7893
IndiGo,2019-03-01,Mumbai,Hyderabad,02:30:00,04:00:00,90,0,16000
Air Asia,2019-06-12,Kolkata,Banglore,06:50:00,10:30:00,220,1,5162
Air India,2019-03-03,Banglore,Delhi,00:30:00,08:45:00,495,1,11392
GoAir,2019-05-18,Banglore,Delhi,11:40:00,14:30:00,170,0,4340
Air Asia,2019-04-06,Kolkata,Banglore,22:50:00,01:20:00,150,0,3807
SpiceJet,2019-06-15,Chennai,Kolkata,09:45:00,12:00:00,135,0,3543
Multiple carriers,2019-06-03,Delhi,Cochin,10:00:00,21:00:00,660,1,9718
Jet Airways,2019-05-21,Delhi,Cochin,02:15:00,12:35:00,620,1,12898
IndiGo,2019-06-15,Mumbai,Hyderabad,06:25:00,07:55:00,90,0,4049
SpiceJet,2019-06-09,Banglore,Delhi,21:10:00,00:05:00,175,0,3971
SpiceJet,2019-06-01,Mumbai,Hyderabad,05:45:00,07:15:00,90,0,2753
Air India,2019-03-01,Banglore,Delhi,10:30:00,17:45:00,435,2,17461
Multiple carriers,2019-05-18,Delhi,Cochin,15:00:00,01:30:00,630,1,13727
Multiple carriers,2019-05-27,Delhi,Cochin,08:00:00,19:00:00,660,1,10407
Jet Airways,2019-05-12,Kolkata,Banglore,09:35:00,23:35:00,840,1,14151
Jet Airways,2019-05-12,Kolkata,Banglore,18:55:00,08:15:00,800,1,14388
IndiGo,2019-06-03,Kolkata,Banglore,20:25:00,23:10:00,165,0,4804
Air India,2019-03-12,Banglore,Delhi,08:50:00,16:20:00,1890,2,12778
IndiGo,2019-03-01,Chennai,Kolkata,14:40:00,17:05:00,145,0,7295
Jet Airways,2019-06-12,Banglore,Delhi,08:20:00,11:20:00,180,0,5769
SpiceJet,2019-05-01,Mumbai,Hyderabad,13:15:00,14:45:00,90,0,2385
Air India,2019-03-15,Banglore,Delhi,08:15:00,08:50:00,1475,1,5521
SpiceJet,2019-05-12,Mumbai,Hyderabad,05:45:00,07:15:00,90,0,1965
Vistara,2019-05-01,Kolkata,Banglore,17:00:00,09:05:00,965,1,8452
Multiple carriers,2019-03-09,Delhi,Cochin,07:05:00,22:20:00,915,1,6916
Multiple carriers,2019-06-24,Delhi,Cochin,07:00:00,21:00:00,840,1,7618
Jet Airways,2019-03-09,Banglore,Delhi,05:45:00,11:25:00,340,1,11087
Jet Airways,2019-03-06,Banglore,Delhi,08:00:00,19:10:00,670,1,16736
Air India,2019-06-06,Delhi,Cochin,05:10:00,08:00:00,170,0,5201
IndiGo,2019-06-15,Banglore,Delhi,07:10:00,10:05:00,175,0,4823
Jet Airways,2019-06-01,Delhi,Cochin,02:15:00,12:35:00,620,1,14714
Jet Airways,2019-05-21,Kolkata,Banglore,08:25:00,08:15:00,1430,1,8586
Air India,2019-05-09,Delhi,Cochin,07:00:00,19:15:00,735,1,8669
Air India,2019-04-18,Banglore,Delhi,21:05:00,23:55:00,170,0,5228
Air India,2019-03-03,Delhi,Cochin,19:00:00,07:40:00,760,1,14777
Multiple carriers,2019-05-21,Delhi,Cochin,08:00:00,21:00:00,780,1,14277
Air India,2019-06-12,Kolkata,Banglore,05:50:00,23:15:00,1045,2,12723
Jet Airways,2019-05-09,Delhi,Cochin,09:40:00,19:00:00,560,2,15129
Jet Airways,2019-06-09,Delhi,Cochin,16:00:00,04:25:00,745,1,10577
SpiceJet,2019-03-24,Banglore,Delhi,09:35:00,12:30:00,175,0,3873
Jet Airways,2019-06-09,Delhi,Cochin,18:15:00,19:00:00,1485,1,10577
Jet Airways,2019-05-15,Kolkata,Banglore,08:25:00,23:35:00,910,1,13941
Jet Airways,2019-04-01,Kolkata,Banglore,21:10:00,08:15:00,665,1,8849
Jet Airways,2019-05-21,Delhi,Cochin,05:30:00,04:25:00,1375,2,15129
SpiceJet,2019-03-21,Delhi,Cochin,08:45:00,13:15:00,270,1,6356
Jet Airways,2019-05-15,Kolkata,Banglore,18:55:00,12:00:00,1025,1,10844
Air India,2019-05-27,Delhi,Cochin,06:50:00,07:40:00,1490,2,16163
IndiGo,2019-05-01,Mumbai,Hyderabad,20:05:00,21:40:00,95,0,2227
Jet Airways,2019-06-24,Delhi,Cochin,21:50:00,04:25:00,395,1,10262
Jet Airways,2019-05-24,Kolkata,Banglore,20:25:00,21:05:00,1480,1,14151
Jet Airways,2019-06-27,Delhi,Cochin,22:50:00,12:35:00,825,1,10262
SpiceJet,2019-06-21,Mumbai,Hyderabad,05:45:00,07:15:00,90,0,2647
IndiGo,2019-03-24,Chennai,Kolkata,07:55:00,10:15:00,140,0,4326
Jet Airways,2019-03-12,Banglore,Delhi,22:55:00,18:25:00,1170,1,11087
Jet Airways,2019-06-12,Kolkata,Banglore,14:05:00,19:50:00,345,1,13626
Jet Airways,2019-03-21,Banglore,Delhi,11:40:00,07:40:00,1200,1,7832
IndiGo,2019-06-24,Kolkata,Banglore,04:40:00,07:15:00,155,0,4804
Vistara,2019-06-18,Banglore,Delhi,09:45:00,12:35:00,170,0,4668
GoAir,2019-05-18,Banglore,Delhi,20:55:00,23:40:00,165,0,4632
Air India,2019-05-24,Banglore,Delhi,21:05:00,23:55:00,170,0,5228
Jet Airways,2019-05-24,Kolkata,Banglore,20:00:00,10:05:00,845,1,8586
Jet Airways,2019-03-12,Banglore,Delhi,20:35:00,19:10:00,1355,1,11087
Jet Airways,2019-03-18,Banglore,Delhi,11:40:00,18:25:00,405,1,12284
Vistara,2019-06-06,Kolkata,Banglore,17:00:00,10:45:00,1065,1,9187
Jet Airways,2019-05-21,Delhi,Cochin,09:00:00,12:35:00,1655,1,12898
IndiGo,2019-05-27,Banglore,Delhi,07:10:00,10:05:00,175,0,4823
IndiGo,2019-06-27,Kolkata,Banglore,09:35:00,12:10:00,155,0,4804
Jet Airways,2019-03-09,Delhi,Cochin,02:15:00,04:25:00,1570,1,15029
Vistara,2019-05-12,Delhi,Cochin,14:40:00,17:50:00,190,0,6216
Air India,2019-05-06,Banglore,Delhi,06:10:00,08:55:00,165,0,6121
Vistara,2019-03-06,Mumbai,Hyderabad,20:55:00,22:55:00,1560,1,12395
SpiceJet,2019-03-03,Kolkata,Banglore,06:55:00,09:35:00,160,0,4622
SpiceJet,2019-06-06,Delhi,Cochin,08:45:00,13:15:00,270,1,5158
IndiGo,2019-05-15,Delhi,Cochin,10:35:00,21:00:00,625,1,6979
Jet Airways,2019-05-24,Kolkata,Banglore,16:30:00,18:15:00,1545,1,10844
Air India,2019-05-24,Mumbai,Hyderabad,06:20:00,07:40:00,80,0,3100
Multiple carriers,2019-03-27,Delhi,Cochin,18:15:00,01:35:00,440,1,12327
SpiceJet,2019-05-01,Kolkata,Banglore,11:35:00,18:50:00,435,1,8479
Jet Airways,2019-06-06,Delhi,Cochin,21:50:00,04:25:00,395,1,10262
Multiple carriers,2019-06-03,Delhi,Cochin,08:00:00,19:00:00,660,1,12402
Multiple carriers,2019-03-06,Delhi,Cochin,07:30:00,18:50:00,680,1,15411
SpiceJet,2019-03-24,Kolkata,Banglore,11:15:00,18:15:00,420,1,12287
GoAir,2019-06-18,Banglore,Delhi,07:45:00,10:40:00,175,0,3419
Air India,2019-03-24,Kolkata,Banglore,09:25:00,05:35:00,1210,2,13349
Jet Airways,2019-06-01,Delhi,Cochin,21:25:00,19:00:00,1295,2,13292
Jet Airways,2019-03-18,Banglore,Delhi,11:40:00,05:05:00,1045,1,13555
Jet Airways,2019-06-12,Banglore,Delhi,07:10:00,10:10:00,180,0,5769
SpiceJet,2019-06-21,Mumbai,Hyderabad,22:45:00,00:15:00,90,0,2017
Jet Airways,2019-03-06,Delhi,Cochin,16:00:00,19:45:00,1665,1,17024
Air India,2019-03-06,Mumbai,Hyderabad,19:30:00,20:45:00,75,0,5462
Multiple carriers,2019-03-06,Delhi,Cochin,10:20:00,19:15:00,535,1,15353
Air India,2019-06-12,Delhi,Cochin,07:10:00,19:15:00,725,2,12488
IndiGo,2019-05-09,Delhi,Cochin,11:25:00,21:00:00,575,1,6979
Jet Airways,2019-06-09,Delhi,Cochin,21:25:00,12:35:00,910,2,13292
Air India,2019-05-18,Delhi,Cochin,22:00:00,19:15:00,1275,2,11228
Air India,2019-03-24,Kolkata,Banglore,20:30:00,16:15:00,1185,1,12173
Jet Airways,2019-06-27,Delhi,Cochin,07:05:00,19:00:00,715,1,10262
Jet Airways,2019-05-09,Banglore,Delhi,08:20:00,11:20:00,180,0,7229
Multiple carriers,2019-06-27,Delhi,Cochin,10:00:00,19:15:00,555,1,14848
SpiceJet,2019-03-24,Banglore,Delhi,09:35:00,12:30:00,175,0,6205
Air India,2019-05-15,Kolkata,Banglore,16:45:00,08:55:00,970,2,14960
Vistara,2019-05-27,Banglore,Delhi,07:00:00,09:40:00,160,0,4668
Jet Airways,2019-05-24,Delhi,Cochin,19:10:00,19:00:00,1430,2,15129
Jet Airways,2019-05-12,Mumbai,Hyderabad,07:05:00,08:30:00,85,0,4050
Multiple carriers,2019-03-27,Delhi,Cochin,06:00:00,13:20:00,440,1,7845
SpiceJet,2019-03-21,Kolkata,Banglore,06:55:00,09:35:00,160,0,4148
Air Asia,2019-04-03,Kolkata,Banglore,19:55:00,22:25:00,150,0,4107
IndiGo,2019-03-01,Kolkata,Banglore,14:20:00,16:55:00,155,0,6565
Jet Airways,2019-05-27,Delhi,Cochin,09:00:00,04:25:00,1165,1,12898
SpiceJet,2019-05-27,Banglore,Delhi,09:30:00,12:20:00,170,0,3625
Multiple carriers,2019-03-27,Delhi,Cochin,13:05:00,21:20:00,495,2,6128
Vistara,2019-06-18,Chennai,Kolkata,07:05:00,09:20:00,135,0,3687
SpiceJet,2019-05-01,Kolkata,Banglore,17:10:00,19:40:00,150,0,3841
SpiceJet,2019-06-15,Mumbai,Hyderabad,05:45:00,07:15:00,90,0,2647
IndiGo,2019-03-21,Delhi,Cochin,07:45:00,13:40:00,355,1,6101
IndiGo,2019-03-27,Delhi,Cochin,08:25:00,15:30:00,425,1,8075
IndiGo,2019-03-24,Banglore,Delhi,10:10:00,13:00:00,170,0,5734
Jet Airways,2019-03-27,Delhi,Cochin,09:00:00,18:50:00,590,1,12032
Jet Airways,2019-03-06,Delhi,Cochin,02:15:00,04:25:00,1570,1,17024
Jet Airways,2019-05-12,Kolkata,Banglore,09:35:00,22:05:00,750,1,14151
Jet Airways,2019-06-24,Delhi,Cochin,09:40:00,12:35:00,1615,2,10368
IndiGo,2019-06-06,Chennai,Kolkata,11:35:00,14:00:00,145,0,3858
SpiceJet,2019-04-12,Kolkata,Banglore,09:00:00,11:25:00,145,0,3841
Air India,2019-03-15,Mumbai,Hyderabad,06:20:00,07:40:00,80,0,3100
IndiGo,2019-03-03,Chennai,Kolkata,07:55:00,10:15:00,140,0,7295
Air India,2019-06-06,Delhi,Cochin,16:40:00,19:15:00,1595,2,9653
Air India,2019-06-03,Delhi,Cochin,03:50:00,19:15:00,925,1,8669
Jet Airways,2019-05-21,Delhi,Cochin,20:55:00,19:00:00,1325,1,12898
IndiGo,2019-04-01,Banglore,Delhi,13:00:00,15:50:00,170,0,4591
IndiGo,2019-05-12,Chennai,Kolkata,05:15:00,07:40:00,145,0,3540
Jet Airways,2019-06-03,Delhi,Cochin,20:55:00,04:25:00,450,1,10262
Air India,2019-05-09,Delhi,Cochin,05:00:00,07:40:00,1600,2,11281
Jet Airways,2019-03-18,Banglore,Delhi,18:40:00,00:45:00,365,1,54826
Air Asia,2019-05-18,Kolkata,Banglore,07:35:00,19:25:00,710,1,5192
Jet Airways,2019-03-06,Banglore,Delhi,08:55:00,21:20:00,745,1,16736
IndiGo,2019-05-03,Kolkata,Banglore,04:40:00,07:15:00,155,0,4804
Air Asia,2019-04-18,Kolkata,Banglore,10:20:00,12:55:00,155,0,4409
Air India,2019-03-21,Chennai,Kolkata,11:40:00,13:55:00,135,0,3670
Multiple carriers,2019-05-09,Delhi,Cochin,10:20:00,21:00:00,640,1,7670
Multiple carriers,2019-03-06,Delhi,Cochin,07:00:00,15:30:00,510,1,15603
SpiceJet,2019-04-27,Kolkata,Banglore,09:00:00,11:25:00,145,0,3841
Jet Airways,2019-03-01,Mumbai,Hyderabad,07:10:00,08:35:00,85,0,17501
Multiple carriers,2019-06-09,Delhi,Cochin,07:05:00,16:10:00,545,1,9646
IndiGo,2019-06-01,Delhi,Cochin,05:10:00,10:05:00,295,1,6842
Multiple carriers,2019-03-27,Delhi,Cochin,04:00:00,18:50:00,890,1,11299
SpiceJet,2019-06-09,Delhi,Cochin,08:45:00,13:15:00,270,1,5264
Air India,2019-03-24,Kolkata,Banglore,07:00:00,01:20:00,1100,2,13428
Jet Airways,2019-06-06,Kolkata,Banglore,14:05:00,22:35:00,510,1,14571
Jet Airways,2019-06-27,Delhi,Cochin,11:30:00,19:00:00,450,1,14714
Air India,2019-05-01,Banglore,Delhi,10:00:00,12:45:00,165,0,6121
Jet Airways,2019-06-12,Delhi,Cochin,20:00:00,04:25:00,505,2,12410
Air India,2019-05-15,Delhi,Cochin,03:50:00,19:15:00,925,1,8669
Jet Airways,2019-03-12,Banglore,Delhi,18:55:00,10:25:00,930,1,13817
IndiGo,2019-03-24,Banglore,Delhi,01:30:00,04:15:00,165,0,4777
Vistara,2019-05-18,Kolkata,Banglore,20:20:00,10:45:00,865,1,9187
IndiGo,2019-03-24,Chennai,Kolkata,11:35:00,14:00:00,145,0,4332
Air India,2019-06-12,Kolkata,Banglore,12:00:00,18:30:00,1830,2,9416
SpiceJet,2019-03-27,Mumbai,Hyderabad,13:10:00,14:30:00,80,0,2017
Jet Airways,2019-06-01,Delhi,Cochin,10:00:00,19:00:00,540,1,14714
Multiple carriers,2019-06-06,Delhi,Cochin,08:00:00,19:15:00,675,1,14848
Jet Airways,2019-05-18,Delhi,Cochin,20:55:00,04:25:00,450,1,15554
Air India,2019-03-15,Banglore,Delhi,11:50:00,11:35:00,1425,1,6982
Jet Airways,2019-06-09,Delhi,Cochin,11:30:00,19:00:00,450,1,14714
Multiple carriers,2019-05-09,Delhi,Cochin,07:30:00,19:15:00,705,1,8266
Jet Airways,2019-06-09,Mumbai,Hyderabad,19:35:00,21:05:00,90,0,3210
IndiGo,2019-03-27,Delhi,Cochin,06:40:00,21:00:00,860,1,8784
Jet Airways,2019-04-12,Banglore,Delhi,08:20:00,11:20:00,180,0,7229
Air Asia,2019-05-15,Kolkata,Banglore,19:55:00,22:25:00,150,0,4409
Air India,2019-05-09,Delhi,Cochin,06:05:00,09:25:00,1640,1,7480
Jet Airways,2019-05-06,Kolkata,Banglore,09:35:00,21:05:00,690,1,10703
IndiGo,2019-06-03,Mumbai,Hyderabad,12:00:00,13:30:00,90,0,2754
IndiGo,2019-05-01,Kolkata,Banglore,20:20:00,22:55:00,155,0,4804
Air Asia,2019-06-09,Kolkata,Banglore,19:55:00,22:25:00,150,0,4409
Air India,2019-05-15,Kolkata,Banglore,05:50:00,16:15:00,2065,2,12723
Air India,2019-05-09,Delhi,Cochin,13:20:00,07:40:00,1100,2,13538
SpiceJet,2019-04-18,Banglore,Delhi,21:10:00,00:05:00,175,0,5515
SpiceJet,2019-05-18,Kolkata,Banglore,11:35:00,18:50:00,435,1,8479
Jet Airways,2019-05-18,Kolkata,Banglore,17:00:00,09:45:00,1005,1,14151
Air India,2019-06-01,Banglore,Delhi,13:20:00,16:10:00,170,0,6961
IndiGo,2019-03-15,Banglore,Delhi,16:55:00,21:50:00,295,1,5397
Jet Airways,2019-04-15,Banglore,Delhi,15:15:00,18:10:00,175,0,4544
Air India,2019-06-09,Kolkata,Banglore,09:25:00,07:55:00,1350,1,8366
Multiple carriers,2019-06-06,Delhi,Cochin,11:40:00,21:00:00,560,1,7005
IndiGo,2019-06-03,Chennai,Kolkata,19:35:00,21:55:00,140,0,3597
Jet Airways,2019-05-24,Kolkata,Banglore,21:10:00,10:05:00,775,1,9663
Vistara,2019-06-09,Banglore,Delhi,17:00:00,19:35:00,155,0,4878
Air India,2019-05-18,Delhi,Cochin,05:10:00,08:00:00,170,0,6934
Jet Airways,2019-05-15,Kolkata,Banglore,18:55:00,09:20:00,865,1,9663
Air India,2019-05-24,Kolkata,Banglore,09:50:00,12:30:00,1600,2,15170
Jet Airways,2019-03-06,Banglore,Delhi,05:45:00,19:10:00,805,1,16736
Jet Airways,2019-05-01,Kolkata,Banglore,14:05:00,04:40:00,875,1,8586
Jet Airways,2019-05-24,Delhi,Cochin,23:05:00,04:25:00,1760,2,16704
Multiple carriers,2019-03-21,Delhi,Cochin,10:00:00,21:00:00,660,1,8085
Jet Airways,2019-03-03,Mumbai,Hyderabad,19:35:00,21:05:00,90,0,5678
Jet Airways,2019-04-09,Delhi,Cochin,17:30:00,12:35:00,1145,1,11822
Jet Airways,2019-06-01,Delhi,Cochin,11:40:00,19:00:00,440,2,18804
Air India,2019-06-06,Kolkata,Banglore,10:00:00,05:25:00,1165,2,13007
Air India,2019-06-06,Delhi,Cochin,12:00:00,07:40:00,1180,2,8603
Multiple carriers,2019-06-03,Delhi,Cochin,07:30:00,19:15:00,705,1,9736
Jet Airways,2019-03-27,Delhi,Cochin,19:15:00,04:25:00,550,1,12242
Jet Airways,2019-03-24,Kolkata,Banglore,19:45:00,20:40:00,1495,1,10031
IndiGo,2019-06-15,Kolkata,Banglore,14:25:00,16:55:00,150,0,4804
Jet Airways,2019-05-09,Kolkata,Banglore,08:25:00,16:20:00,475,1,13941
Vistara,2019-03-24,Banglore,Delhi,19:40:00,22:20:00,160,0,4563
Jet Airways,2019-05-12,Kolkata,Banglore,16:30:00,09:20:00,1010,1,9663
IndiGo,2019-06-03,Banglore,Delhi,08:30:00,11:20:00,170,0,4823
Jet Airways,2019-06-09,Delhi,Cochin,20:55:00,04:25:00,450,1,14924
SpiceJet,2019-03-12,Chennai,Kolkata,08:20:00,10:35:00,135,0,6300
IndiGo,2019-05-27,Delhi,Cochin,05:05:00,16:10:00,665,1,6600
Jet Airways,2019-06-12,Delhi,Cochin,12:15:00,12:35:00,1460,2,14300
Jet Airways,2019-06-09,Kolkata,Banglore,17:00:00,22:05:00,1745,1,12692
IndiGo,2019-04-27,Delhi,Cochin,02:00:00,07:25:00,325,1,5796
Vistara,2019-05-24,Banglore,Delhi,19:30:00,22:15:00,165,0,5823
SpiceJet,2019-03-18,Banglore,Delhi,20:30:00,23:20:00,170,0,4273
Jet Airways,2019-06-06,Delhi,Cochin,20:55:00,04:25:00,450,1,10262
Air Asia,2019-06-06,Kolkata,Banglore,07:35:00,23:30:00,955,1,6810
Jet Airways,2019-05-09,Kolkata,Banglore,14:05:00,10:05:00,1200,1,7757
SpiceJet,2019-05-18,Chennai,Kolkata,08:20:00,10:35:00,135,0,3597
Air India,2019-06-09,Kolkata,Banglore,05:50:00,23:15:00,1045,2,12723
Jet Airways,2019-06-09,Kolkata,Banglore,08:25:00,19:50:00,685,1,10844
Vistara,2019-05-21,Chennai,Kolkata,07:05:00,09:20:00,135,0,3687
Jet Airways,2019-03-06,Delhi,Cochin,05:30:00,19:45:00,2295,2,15864
Multiple carriers,2019-06-27,Delhi,Cochin,04:55:00,19:00:00,845,1,10678
Jet Airways,2019-03-01,Banglore,Delhi,08:00:00,15:15:00,435,1,22270
Air India,2019-03-03,Banglore,Delhi,17:25:00,08:45:00,920,2,11570
