Airline,Date_of_Journey,Source,Destination,Dep_Time,Arrival_Time,Total_Stops,Price,Duration_in_minute
IndiGo,2019-03-06,Kolkata,Banglore,17:15:00,19:55:00,0,5618,160
Multiple carriers,2019-05-18,Delhi,Cochin,14:00:00,21:00:00,1,13727,420
Jet Airways,2019-05-18,Delhi,Cochin,07:05:00,04:25:00,1,12373,1280
Jet Airways,2019-03-03,Delhi,Cochin,13:55:00,04:25:00,1,17024,870
Jet Airways,2019-03-21,Banglore,Delhi,08:55:00,16:10:00,1,7832,435
SpiceJet,2019-05-21,Chennai,Kolkata,08:20:00,10:35:00,0,3543,135
Jet Airways,2019-03-06,Banglore,Delhi,21:25:00,11:25:00,1,17261,840
SpiceJet,2019-03-01,Chennai,Kolkata,09:30:00,12:05:00,0,7298,155
IndiGo,2019-04-01,Kolkata,Banglore,04:40:00,07:15:00,0,4174,155
IndiGo,2019-03-09,Mumbai,Hyderabad,06:20:00,07:45:00,0,4392,85
Vistara,2019-05-09,Delhi,Cochin,14:40:00,17:50:00,0,6216,190
Jet Airways,2019-05-15,Kolkata,Banglore,17:00:00,23:35:00,1,14151,395
Jet Airways,2019-03-03,Mumbai,Hyderabad,02:55:00,04:25:00,0,4050,90
SpiceJet,2019-04-06,Delhi,Cochin,17:55:00,22:50:00,1,4957,295
IndiGo,2019-05-27,Delhi,Cochin,05:05:00,12:10:00,1,6600,425
Jet Airways,2019-04-21,Banglore,Delhi,11:10:00,14:05:00,0,7229,175
Multiple carriers,2019-05-18,Delhi,Cochin,11:40:00,19:15:00,1,9211,455
Jet Airways,2019-05-09,Kolkata,Banglore,08:25:00,18:15:00,1,10844,590
SpiceJet,2019-04-06,Kolkata,Banglore,17:10:00,19:40:00,0,3873,150
IndiGo,2019-03-03,Mumbai,Hyderabad,21:20:00,22:45:00,0,4784,85
Jet Airways,2019-05-27,Delhi,Cochin,20:55:00,19:00:00,1,12898,1325
IndiGo,2019-05-24,Banglore,Delhi,20:00:00,22:50:00,0,4823,170
Vistara,2019-06-24,Banglore,Delhi,09:45:00,12:35:00,0,4668,170
SpiceJet,2019-06-09,Chennai,Kolkata,08:20:00,10:35:00,0,3597,135
Vistara,2019-04-27,Banglore,Delhi,21:00:00,23:50:00,0,5403,170
Air India,2019-03-03,Delhi,Cochin,16:40:00,19:15:00,2,14221,1595
Multiple carriers,2019-05-21,Delhi,Cochin,07:00:00,21:00:00,1,7888,840
Multiple carriers,2019-06-01,Delhi,Cochin,08:30:00,19:15:00,1,8937,645
IndiGo,2019-06-18,Banglore,Delhi,18:25:00,21:20:00,0,4823,175
Jet Airways,2019-05-27,Delhi,Cochin,20:00:00,04:25:00,2,16263,505
Air India,2019-05-09,Kolkata,Banglore,16:50:00,18:30:00,1,8576,1540
Multiple carriers,2019-03-21,Delhi,Cochin,07:30:00,19:15:00,1,10161,705
IndiGo,2019-06-12,Mumbai,Hyderabad,16:55:00,18:25:00,0,3175,90
Jet Airways,2019-03-21,Delhi,Cochin,18:15:00,04:25:00,1,5963,610
IndiGo,2019-03-06,Mumbai,Hyderabad,15:45:00,23:00:00,1,7681,435
Jet Airways,2019-06-18,Mumbai,Hyderabad,08:45:00,10:15:00,0,4995,90
Vistara,2019-05-09,Kolkata,Banglore,07:10:00,23:25:00,1,8085,975
Jet Airways,2019-05-06,Delhi,Cochin,13:00:00,04:25:00,1,15554,925
SpiceJet,2019-05-21,Banglore,Delhi,09:30:00,12:20:00,0,3573,170
Vistara,2019-04-24,Delhi,Cochin,14:40:00,17:50:00,0,6216,190
Air India,2019-03-01,Banglore,Delhi,08:50:00,23:25:00,2,26743,875
Jet Airways,2019-05-18,Delhi,Cochin,13:25:00,19:00:00,2,16704,1775
Multiple carriers,2019-03-06,Delhi,Cochin,13:05:00,21:20:00,2,10759,495
Air India,2019-06-01,Banglore,Delhi,21:05:00,23:55:00,0,5228,170
IndiGo,2019-04-06,Banglore,Delhi,22:10:00,01:00:00,0,3943,170
Jet Airways,2019-06-09,Delhi,Cochin,19:30:00,04:25:00,2,10368,535
Air India,2019-03-03,Delhi,Cochin,18:05:00,21:10:00,0,8666,185
Jet Airways,2019-05-18,Delhi,Cochin,10:00:00,19:00:00,1,15554,540
Jet Airways,2019-03-01,Banglore,Delhi,05:45:00,16:10:00,1,26890,625
Jet Airways,2019-04-01,Banglore,Delhi,06:00:00,08:45:00,0,4544,165
Multiple carriers,2019-05-09,Delhi,Cochin,08:30:00,19:00:00,1,9627,630
Multiple carriers,2019-04-09,Delhi,Cochin,08:00:00,19:00:00,1,11142,660
IndiGo,2019-06-18,Banglore,Delhi,05:30:00,08:20:00,0,3943,170
IndiGo,2019-05-24,Kolkata,Banglore,09:35:00,12:20:00,0,4804,165
Multiple carriers,2019-06-15,Delhi,Cochin,13:00:00,19:15:00,1,16108,375
IndiGo,2019-06-06,Banglore,Delhi,00:25:00,03:15:00,0,3943,170
IndiGo,2019-04-27,Delhi,Cochin,05:35:00,08:50:00,0,6015,195
Air India,2019-05-18,Delhi,Cochin,17:40:00,23:00:00,1,8277,320
SpiceJet,2019-06-27,Delhi,Cochin,08:45:00,13:15:00,1,4760,270
SpiceJet,2019-05-01,Kolkata,Banglore,17:10:00,19:40:00,0,4174,150
Air Asia,2019-05-15,Kolkata,Banglore,15:10:00,23:30:00,2,5192,500
Air India,2019-05-12,Kolkata,Banglore,12:00:00,23:15:00,3,10991,2115
Air Asia,2019-05-12,Kolkata,Banglore,19:55:00,22:25:00,0,5530,150
Air India,2019-03-01,Kolkata,Banglore,14:15:00,16:45:00,0,6535,150
Jet Airways,2019-03-06,Delhi,Cochin,16:50:00,04:25:00,2,19907,2135
IndiGo,2019-06-01,Banglore,Delhi,21:15:00,00:15:00,0,3943,180
Jet Airways,2019-05-09,Delhi,Cochin,20:00:00,04:25:00,2,16263,505
IndiGo,2019-05-15,Banglore,Delhi,01:30:00,04:15:00,0,3419,165
IndiGo,2019-06-06,Chennai,Kolkata,22:05:00,00:25:00,0,5277,140
Jet Airways,2019-06-03,Delhi,Cochin,14:00:00,04:25:00,1,10262,865
Jet Airways,2019-06-03,Delhi,Cochin,21:50:00,04:25:00,1,12898,395
Jet Airways,2019-05-12,Kolkata,Banglore,06:30:00,04:40:00,1,13941,1330
SpiceJet,2019-04-03,Kolkata,Banglore,17:10:00,19:40:00,0,3841,150
SpiceJet,2019-03-09,Banglore,Delhi,05:45:00,08:35:00,0,5126,170
Jet Airways,2019-03-01,Banglore,Delhi,22:50:00,00:45:00,1,26890,1555
Air Asia,2019-06-12,Kolkata,Banglore,06:50:00,10:30:00,1,5162,220
Multiple carriers,2019-05-21,Delhi,Cochin,11:40:00,01:30:00,1,7485,830
Jet Airways,2019-05-21,Kolkata,Banglore,20:00:00,04:40:00,1,10844,520
Jet Airways,2019-06-03,Delhi,Cochin,17:30:00,12:35:00,1,10262,1145
IndiGo,2019-03-24,Banglore,Delhi,18:55:00,21:45:00,0,7303,170
Jet Airways,2019-04-21,Banglore,Delhi,18:55:00,22:00:00,0,7229,185
IndiGo,2019-06-01,Delhi,Cochin,06:50:00,16:10:00,1,6442,560
Jet Airways,2019-05-01,Mumbai,Hyderabad,19:35:00,21:05:00,0,5678,90
Air India,2019-05-21,Mumbai,Hyderabad,21:05:00,22:25:00,0,3100,80
Jet Airways,2019-06-09,Delhi,Cochin,20:55:00,04:25:00,1,14924,450
Jet Airways,2019-05-18,Delhi,Cochin,22:50:00,04:25:00,1,12373,335
IndiGo,2019-05-21,Delhi,Cochin,09:15:00,21:00:00,1,7318,705
IndiGo,2019-06-09,Delhi,Cochin,21:50:00,03:35:00,1,6195,345
SpiceJet,2019-06-06,Mumbai,Hyderabad,05:45:00,07:15:00,0,2753,90
Jet Airways,2019-03-03,Delhi,Cochin,05:25:00,04:25:00,2,20064,2820
IndiGo,2019-06-21,Delhi,Cochin,21:05:00,00:20:00,0,5406,195
Air India,2019-06-27,Banglore,Delhi,17:00:00,19:45:00,0,6961,165
Air India,2019-06-24,Delhi,Cochin,07:05:00,09:25:00,2,11185,1580
Jet Airways,2019-06-27,Delhi,Cochin,13:25:00,12:35:00,2,12819,1390
Jet Airways,2019-06-21,Banglore,Delhi,11:10:00,14:05:00,0,8016,175
Multiple carriers,2019-05-15,Delhi,Cochin,11:40:00,19:00:00,1,10529,440
SpiceJet,2019-04-21,Delhi,Cochin,08:45:00,13:15:00,1,6460,270
SpiceJet,2019-05-27,Chennai,Kolkata,17:45:00,20:05:00,0,3597,140
Jet Airways,2019-06-01,Mumbai,Hyderabad,07:05:00,08:30:00,0,4050,85
IndiGo,2019-05-03,Banglore,Delhi,23:30:00,02:20:00,0,4591,170
Jet Airways,2019-04-18,Banglore,Delhi,06:00:00,08:45:00,0,7229,165
IndiGo,2019-06-06,Delhi,Cochin,21:50:00,03:35:00,1,6195,345
IndiGo,2019-06-01,Kolkata,Banglore,09:35:00,12:10:00,0,4804,155
Multiple carriers,2019-05-15,Delhi,Cochin,06:40:00,19:15:00,1,7787,755
Air India,2019-05-09,Kolkata,Banglore,12:00:00,07:55:00,2,9416,1195
IndiGo,2019-05-21,Delhi,Cochin,16:10:00,00:55:00,1,6778,525
IndiGo,2019-04-27,Delhi,Cochin,02:00:00,07:25:00,1,5796,325
Air Asia,2019-04-27,Delhi,Cochin,20:45:00,07:10:00,1,6451,625
IndiGo,2019-03-15,Mumbai,Hyderabad,19:05:00,20:30:00,0,2754,85
Jet Airways,2019-05-21,Delhi,Cochin,21:50:00,04:25:00,1,12898,395
Jet Airways,2019-06-01,Delhi,Cochin,05:30:00,04:25:00,2,13014,1375
IndiGo,2019-03-21,Delhi,Cochin,06:40:00,22:20:00,1,6558,940
Multiple carriers,2019-06-12,Delhi,Cochin,12:50:00,01:30:00,1,6795,760
IndiGo,2019-06-01,Chennai,Kolkata,15:40:00,18:25:00,0,3540,165
Vistara,2019-05-15,Kolkata,Banglore,20:20:00,10:45:00,1,8452,865
Multiple carriers,2019-06-15,Delhi,Cochin,19:00:00,01:30:00,1,6795,390
IndiGo,2019-06-21,Kolkata,Banglore,04:40:00,07:15:00,0,4804,155
SpiceJet,2019-06-06,Chennai,Kolkata,09:45:00,12:00:00,0,3597,135
IndiGo,2019-05-18,Delhi,Cochin,20:25:00,01:30:00,1,6069,305
Jet Airways,2019-05-21,Delhi,Cochin,21:50:00,19:00:00,1,12898,1270
IndiGo,2019-05-24,Banglore,Delhi,23:30:00,02:20:00,0,4591,170
Multiple carriers,2019-05-15,Delhi,Cochin,08:45:00,19:15:00,1,8266,630
Air India,2019-05-21,Delhi,Cochin,18:05:00,21:10:00,0,6094,185
Vistara,2019-03-06,Mumbai,Hyderabad,07:30:00,19:55:00,1,12395,745
Jet Airways,2019-05-18,Kolkata,Banglore,16:30:00,23:35:00,1,14781,425
Air India,2019-03-18,Banglore,Delhi,17:00:00,19:45:00,0,4441,165
Jet Airways,2019-06-18,Mumbai,Hyderabad,19:35:00,21:05:00,0,5678,90
Jet Airways,2019-06-27,Delhi,Cochin,21:50:00,19:00:00,1,10262,1270
IndiGo,2019-06-21,Banglore,Delhi,20:00:00,22:50:00,0,4823,170
Jet Airways,2019-06-06,Kolkata,Banglore,18:55:00,18:15:00,1,10844,1400
Multiple carriers,2019-05-27,Delhi,Cochin,09:15:00,19:15:00,1,9149,600
Jet Airways,2019-05-12,Kolkata,Banglore,09:35:00,22:05:00,1,14151,750
Jet Airways,2019-05-09,Delhi,Cochin,09:40:00,19:00:00,2,15129,560
Jet Airways,2019-05-09,Delhi,Cochin,09:40:00,04:25:00,2,13029,1125
Multiple carriers,2019-06-27,Delhi,Cochin,17:45:00,01:30:00,1,5797,465
IndiGo,2019-03-21,Delhi,Cochin,17:10:00,01:35:00,1,7318,505
IndiGo,2019-06-12,Delhi,Cochin,07:35:00,12:10:00,1,5054,275
Air Asia,2019-04-01,Kolkata,Banglore,22:40:00,10:40:00,1,5192,720
Multiple carriers,2019-03-06,Delhi,Cochin,10:45:00,19:15:00,1,15077,510
Vistara,2019-03-15,Delhi,Cochin,06:00:00,09:10:00,0,6111,190
Jet Airways,2019-05-24,Kolkata,Banglore,10:20:00,17:35:00,1,6287,435
Air Asia,2019-06-18,Banglore,Delhi,23:55:00,02:45:00,0,3383,170
IndiGo,2019-06-09,Banglore,Delhi,01:30:00,04:15:00,0,4077,165
Jet Airways,2019-06-12,Kolkata,Banglore,18:55:00,10:05:00,1,8529,910
Jet Airways,2019-06-12,Delhi,Cochin,02:15:00,12:35:00,1,18371,620
IndiGo,2019-03-03,Banglore,Delhi,23:30:00,02:20:00,0,6144,170
SpiceJet,2019-03-24,Banglore,Delhi,20:30:00,23:20:00,0,3873,170
SpiceJet,2019-05-09,Chennai,Kolkata,17:45:00,20:05:00,0,3597,140
Jet Airways,2019-05-01,Kolkata,Banglore,17:00:00,23:35:00,1,13067,395
SpiceJet,2019-04-01,Delhi,Cochin,06:05:00,11:20:00,1,5351,315
Jet Airways,2019-05-09,Delhi,Cochin,19:15:00,04:25:00,1,12373,550
Jet Airways,2019-06-12,Kolkata,Banglore,18:55:00,22:35:00,1,8529,1660
Multiple carriers,2019-06-12,Delhi,Cochin,11:40:00,19:00:00,1,11789,440
Air India,2019-05-18,Delhi,Cochin,20:40:00,09:25:00,1,7480,765
Air India,2019-05-27,Delhi,Cochin,22:00:00,19:15:00,2,10651,1275
Vistara,2019-06-01,Delhi,Cochin,06:00:00,09:10:00,0,6741,190
Jet Airways,2019-05-21,Delhi,Cochin,22:50:00,04:25:00,1,16079,335
Jet Airways,2019-06-03,Delhi,Cochin,17:30:00,12:35:00,1,14714,1145
Air India,2019-03-01,Banglore,Delhi,08:50:00,10:35:00,2,31783,1545
Air India,2019-06-12,Banglore,Delhi,06:10:00,08:55:00,0,6961,165
IndiGo,2019-05-12,Mumbai,Hyderabad,09:10:00,10:40:00,0,4049,90
Jet Airways,2019-03-15,Banglore,Delhi,07:00:00,07:40:00,1,7832,1480
IndiGo,2019-06-24,Delhi,Cochin,08:35:00,22:30:00,1,6442,835
GoAir,2019-06-15,Delhi,Cochin,07:25:00,13:35:00,1,5842,370
Jet Airways,2019-05-18,Delhi,Cochin,13:25:00,04:25:00,2,16704,900
SpiceJet,2019-05-09,Mumbai,Hyderabad,05:45:00,07:15:00,0,1965,90
Jet Airways,2019-06-09,Delhi,Cochin,14:35:00,04:25:00,2,13376,830
Jet Airways,2019-03-12,Banglore,Delhi,18:55:00,12:25:00,1,11087,1050
Jet Airways,2019-05-21,Kolkata,Banglore,14:05:00,04:40:00,1,14388,875
Multiple carriers,2019-06-15,Delhi,Cochin,11:25:00,19:00:00,1,10877,455
Jet Airways,2019-03-12,Banglore,Delhi,18:55:00,09:30:00,1,13817,875
Jet Airways,2019-06-12,Kolkata,Banglore,14:05:00,23:35:00,1,13626,570
Jet Airways,2019-05-12,Kolkata,Banglore,18:55:00,10:05:00,1,14388,910
IndiGo,2019-06-06,Mumbai,Hyderabad,12:00:00,13:30:00,0,2754,90
IndiGo,2019-06-27,Delhi,Cochin,05:35:00,08:50:00,0,5000,195
Air India,2019-05-15,Kolkata,Banglore,16:45:00,21:05:00,1,7452,1700
SpiceJet,2019-05-09,Banglore,Delhi,21:10:00,00:05:00,0,4423,175
IndiGo,2019-06-18,Mumbai,Hyderabad,21:20:00,22:50:00,0,2227,90
IndiGo,2019-05-27,Chennai,Kolkata,07:55:00,10:15:00,0,3850,140
IndiGo,2019-04-12,Banglore,Delhi,10:10:00,13:00:00,0,4591,170
Jet Airways,2019-06-09,Delhi,Cochin,18:15:00,12:35:00,1,10577,1100
Multiple carriers,2019-06-06,Delhi,Cochin,06:00:00,19:00:00,1,11789,780
Air India,2019-06-15,Delhi,Cochin,21:00:00,07:40:00,1,8372,640
Air Asia,2019-03-18,Banglore,Delhi,05:50:00,08:40:00,0,4284,170
Multiple carriers,2019-03-21,Delhi,Cochin,07:30:00,21:00:00,1,9845,810
Jet Airways,2019-03-12,Banglore,Delhi,05:45:00,20:20:00,1,13817,875
IndiGo,2019-03-09,Delhi,Cochin,07:30:00,21:00:00,1,12351,810
Jet Airways,2019-06-06,Delhi,Cochin,19:45:00,04:25:00,1,10262,520
Air India,2019-03-06,Mumbai,Hyderabad,09:40:00,23:45:00,2,22619,845
IndiGo,2019-03-03,Chennai,Kolkata,19:35:00,21:55:00,0,7295,140
Jet Airways,2019-03-06,Banglore,Delhi,05:45:00,23:00:00,1,16736,1035
Jet Airways,2019-05-15,Banglore,Delhi,06:00:00,08:45:00,0,4030,165
Jet Airways,2019-05-24,Delhi,Cochin,23:05:00,04:25:00,2,16704,1760
Jet Airways,2019-05-09,Kolkata,Banglore,16:30:00,08:15:00,1,13941,945
Air Asia,2019-04-27,Delhi,Cochin,16:45:00,07:10:00,1,6451,865
Air India,2019-06-27,Delhi,Cochin,09:45:00,09:25:00,2,10975,1420
Air India,2019-05-24,Kolkata,Banglore,09:25:00,18:30:00,1,8576,545
Air India,2019-05-21,Kolkata,Banglore,09:25:00,05:35:00,2,11432,1210
Air India,2019-05-27,Kolkata,Banglore,14:15:00,16:45:00,0,5510,150
Jet Airways,2019-04-12,Banglore,Delhi,11:10:00,14:05:00,0,5198,175
Jet Airways,2019-05-21,Kolkata,Banglore,16:30:00,23:35:00,1,14781,425
IndiGo,2019-03-06,Delhi,Cochin,07:30:00,21:00:00,1,14871,810
Jet Airways,2019-05-15,Kolkata,Banglore,17:00:00,09:45:00,1,13067,1005
Jet Airways,2019-05-24,Kolkata,Banglore,18:55:00,12:00:00,1,14571,1025
SpiceJet,2019-06-09,Banglore,Delhi,21:10:00,00:05:00,0,3971,175
Multiple carriers,2019-06-27,Delhi,Cochin,07:30:00,19:15:00,1,8266,705
IndiGo,2019-03-06,Delhi,Cochin,06:40:00,22:20:00,1,6442,940
Jet Airways,2019-03-01,Mumbai,Hyderabad,07:10:00,08:35:00,0,17501,85
Air India,2019-06-06,Delhi,Cochin,12:00:00,07:40:00,2,8603,1180
Vistara,2019-06-09,Kolkata,Banglore,07:10:00,09:05:00,1,9397,1555
Air India,2019-06-12,Delhi,Cochin,16:40:00,19:15:00,2,9443,1595
Jet Airways,2019-05-01,Kolkata,Banglore,21:10:00,08:15:00,1,10844,665
Jet Airways,2019-05-27,Banglore,Delhi,08:20:00,11:20:00,0,7229,180
Jet Airways,2019-05-27,Delhi,Cochin,22:50:00,12:35:00,1,12898,825
Jet Airways,2019-03-06,Banglore,Delhi,11:40:00,18:25:00,1,19225,405
GoAir,2019-04-24,Delhi,Cochin,07:25:00,13:35:00,1,4692,370
IndiGo,2019-04-09,Delhi,Cochin,15:00:00,01:30:00,1,6270,630
Vistara,2019-06-06,Kolkata,Banglore,07:10:00,09:05:00,1,8452,1555
IndiGo,2019-04-01,Kolkata,Banglore,15:10:00,20:30:00,1,8567,320
Jet Airways,2019-06-09,Kolkata,Banglore,17:00:00,23:35:00,1,13994,395
IndiGo,2019-03-24,Banglore,Delhi,04:00:00,06:50:00,0,4777,170
Jet Airways,2019-06-15,Delhi,Cochin,02:15:00,19:00:00,1,10262,1005
Air India,2019-05-24,Kolkata,Banglore,05:50:00,13:15:00,2,7662,445
Jet Airways,2019-03-24,Kolkata,Banglore,16:55:00,19:40:00,1,14231,1605
IndiGo,2019-06-09,Delhi,Cochin,09:15:00,21:00:00,1,6838,705
Jet Airways,2019-06-15,Delhi,Cochin,06:45:00,04:25:00,2,13376,1300
Jet Airways,2019-03-21,Delhi,Cochin,20:50:00,04:25:00,1,14189,455
Jet Airways,2019-05-09,Kolkata,Banglore,14:05:00,04:40:00,1,8586,875
Jet Airways,2019-06-12,Kolkata,Banglore,08:25:00,18:15:00,1,9899,590
Jet Airways,2019-06-06,Kolkata,Banglore,08:25:00,19:50:00,1,14571,685
IndiGo,2019-03-01,Banglore,Delhi,18:55:00,21:45:00,0,14306,170
Jet Airways,2019-05-21,Kolkata,Banglore,08:25:00,08:15:00,1,8586,1430
Multiple carriers,2019-05-27,Delhi,Cochin,10:00:00,21:00:00,1,9718,660
Jet Airways,2019-04-01,Kolkata,Banglore,16:30:00,22:35:00,1,12681,365
Jet Airways,2019-05-21,Delhi,Cochin,23:05:00,19:00:00,2,15129,1195
Vistara,2019-04-27,Banglore,Delhi,07:00:00,09:40:00,0,5613,160
SpiceJet,2019-05-12,Mumbai,Hyderabad,13:15:00,14:45:00,0,2227,90
Jet Airways,2019-05-09,Kolkata,Banglore,09:35:00,23:35:00,1,12121,840
Vistara,2019-05-15,Delhi,Cochin,06:00:00,09:10:00,0,6216,190
SpiceJet,2019-04-15,Delhi,Cochin,08:45:00,13:15:00,1,5726,270
Jet Airways,2019-05-18,Delhi,Cochin,20:55:00,19:00:00,1,15554,1325
Multiple carriers,2019-06-27,Delhi,Cochin,18:00:00,01:30:00,1,7198,450
Jet Airways,2019-06-01,Banglore,Delhi,07:10:00,10:10:00,0,8016,180
IndiGo,2019-03-06,Delhi,Cochin,16:10:00,22:20:00,1,7205,370
SpiceJet,2019-05-12,Mumbai,Hyderabad,13:15:00,14:45:00,0,2175,90
Air India,2019-06-06,Kolkata,Banglore,16:45:00,21:05:00,1,7662,1700
IndiGo,2019-06-03,Delhi,Cochin,08:35:00,22:30:00,1,6442,835
IndiGo,2019-06-03,Delhi,Cochin,23:30:00,04:35:00,1,11378,305
Air India,2019-04-06,Banglore,Delhi,10:00:00,12:45:00,0,5176,165
IndiGo,2019-03-01,Banglore,Delhi,16:15:00,20:35:00,1,7917,260
Jet Airways,2019-06-12,Mumbai,Hyderabad,19:35:00,21:05:00,0,3210,90
IndiGo,2019-03-06,Delhi,Cochin,15:00:00,01:35:00,1,14871,635
Air India,2019-06-12,Kolkata,Banglore,05:50:00,20:25:00,2,12723,875
SpiceJet,2019-04-24,Banglore,Delhi,21:10:00,00:05:00,0,3573,175
Multiple carriers,2019-03-06,Delhi,Cochin,07:05:00,21:00:00,1,17267,835
Jet Airways,2019-06-09,Kolkata,Banglore,17:00:00,10:55:00,1,14151,1075
Multiple carriers,2019-06-09,Delhi,Cochin,08:00:00,21:00:00,1,7408,780
Jet Airways,2019-05-09,Delhi,Cochin,09:00:00,19:00:00,1,15554,600
IndiGo,2019-03-03,Delhi,Cochin,06:40:00,13:20:00,1,14871,400
Jet Airways,2019-06-09,Delhi,Cochin,18:25:00,12:35:00,2,14237,1090
Vistara,2019-04-12,Banglore,Delhi,09:45:00,12:35:00,0,5403,170
Multiple carriers,2019-06-06,Delhi,Cochin,06:40:00,19:15:00,1,7354,755
IndiGo,2019-05-09,Delhi,Cochin,07:35:00,12:10:00,1,5054,275
IndiGo,2019-05-06,Mumbai,Hyderabad,02:35:00,04:05:00,0,3342,90
Multiple carriers,2019-06-03,Delhi,Cochin,10:00:00,21:00:00,1,13587,660
IndiGo,2019-04-18,Delhi,Cochin,05:35:00,08:50:00,0,6015,195
Jet Airways,2019-03-01,Banglore,Delhi,14:05:00,07:40:00,1,22270,1055
Multiple carriers,2019-06-24,Delhi,Cochin,07:10:00,22:30:00,1,6723,920
